City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
161,ribeira grande,PT,38.5167,-28.7,58.35,73,100,21.77,overcast clouds
162,griffith,US,41.5284,-87.4237,45.46,59,0,5.75,clear sky
163,mar del plata,AR,-38.0023,-57.5575,62.87,80,0,21.0,clear sky
164,longyearbyen,SJ,78.2186,15.6401,-2.36,65,20,11.5,few clouds
165,kysyl-syr,RU,63.8986,122.7617,17.08,98,99,2.06,overcast clouds
166,oil city,US,41.4339,-79.7064,36.07,65,100,16.11,overcast clouds
167,butaritari,KI,3.0707,172.7902,82.24,76,81,22.15,broken clouds
168,lorengau,PG,-2.0226,147.2712,78.84,89,100,11.25,heavy intensity rain
169,vostok,RU,46.4856,135.8833,25.41,78,9,4.85,clear sky
170,faya,SA,18.3851,42.4509,60.91,18,29,5.91,scattered clouds
171,temirtau,KZ,50.0544,72.9483,21.25,99,84,3.71,broken clouds
172,maceio,BR,-9.6658,-35.7353,78.24,83,20,4.61,few clouds
173,gillette,US,44.2911,-105.5022,45.03,40,75,12.66,broken clouds
174,ust-kut,RU,56.7938,105.7672,33.84,98,100,6.44,snow
175,nouadhibou,MR,20.931,-17.0347,64.38,77,0,13.8,clear sky
176,new norfolk,AU,-42.7826,147.0587,56.91,69,100,3.0,overcast clouds
177,guerrero negro,MX,27.9769,-114.0611,64.99,57,2,15.93,clear sky
178,akdepe,TM,42.0551,59.3788,53.69,37,0,6.62,clear sky
179,matara,LK,5.9485,80.5353,76.96,86,53,2.73,light rain
180,maxixe,MZ,-23.8597,35.3472,74.77,84,1,6.49,clear sky
181,panzhihua,CN,26.5851,101.7128,46.17,91,100,2.55,overcast clouds
182,verkhnyaya toyma,RU,62.2349,44.9985,0.34,100,62,1.81,broken clouds
183,nome,US,64.5011,-165.4064,27.1,63,0,8.05,clear sky
184,ponta do sol,PT,32.6667,-17.1,64.0,84,100,0.96,overcast clouds
185,meulaboh,ID,4.1363,96.1285,77.85,84,100,2.08,light rain
186,tuktoyaktuk,CA,69.4541,-133.0374,-14.8,76,20,5.75,few clouds
187,asau,RO,46.4333,26.4,52.95,78,100,4.74,overcast clouds
188,altamira,BR,-3.2033,-52.2064,72.93,92,37,3.33,scattered clouds
189,juegang,CN,32.3174,121.1855,44.91,66,100,3.29,overcast clouds
190,kahului,US,20.8947,-156.47,86.02,63,40,29.93,scattered clouds
191,sakakah,SA,29.9697,40.2064,69.37,15,98,9.64,overcast clouds
192,lavrentiya,RU,65.5833,-171.0,16.95,69,100,12.68,overcast clouds
193,haines junction,CA,60.7522,-137.5108,30.15,55,100,4.61,overcast clouds
194,husavik,IS,66.0449,-17.3389,35.51,85,97,7.63,overcast clouds
195,noumea,NC,-22.2763,166.4572,84.18,99,84,5.7,broken clouds
196,manuk mangkaw,PH,4.8,119.85,83.3,72,73,11.79,broken clouds
